Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年3月3週,250303,TSE Standard,個　人,-17292957.0,-17.292957
2025年3月3週,250303,TSE Prime,自己計,434751576.0,434.751576
2025年3月4週,250304,TSE Growth,海外投資家,-5657371.0,-5.657371
2025年3月4週,250304,TSE Growth,法　人,-4887531.0,-4.887531
2025年3月4週,250304,TSE Growth,自己計,-2518321.0,-2.518321
2025年3月4週,250304,Tokyo & Nagoya,事業法人,-11470888.0,-11.470888
2025年3月4週,250304,Tokyo & Nagoya,海外投資家,-841689022.0,-841.689022
2025年3月4週,250304,Tokyo & Nagoya,証券会社,20451816.0,20.451816
2025年3月4週,250304,TSE Growth,証券会社,593505.0,0.593505
2025年3月4週,250304,Tokyo & Nagoya,個　人,478269233.0,478.269233
2025年3月4週,250304,Tokyo & Nagoya,法　人,-1046396832.0,-1046.396832
2025年3月4週,250304,Tokyo & Nagoya,自己計,1392984164.0,1392.984164
2025年3月4週,250304,Tokyo & Nagoya,投資信託,-182237565.0,-182.237565
2025年3月4週,250304,TSE Growth,投資信託,247443.0,0.247443
2025年3月4週,250304,TSE Growth,個　人,11533971.0,11.533971
2025年3月4週,250304,TSE Prime,事業法人,-11628065.0,-11.628065
2025年3月4週,250304,TSE Standard,自己計,6045956.0,6.045956
2025年3月4週,250304,TSE Prime,投資信託,-181646843.0,-181.646843
2025年3月4週,250304,TSE Prime,証券会社,20264817.0,20.264817
2025年3月4週,250304,TSE Prime,海外投資家,-827138241.0,-827.138241
2025年3月4週,250304,TSE Prime,個　人,457373306.0,457.373306
2025年3月4週,250304,TSE Prime,法　人,-1040250517.0,-1040.250517
2025年3月4週,250304,TSE Growth,事業法人,-429936.0,-0.429936
2025年3月4週,250304,TSE Standard,事業法人,618382.0,0.618382
2025年3月4週,250304,TSE Standard,投資信託,-841110.0,-0.84111
2025年3月4週,250304,TSE Standard,証券会社,-415849.0,-0.415849
2025年3月4週,250304,TSE Standard,海外投資家,-8980667.0,-8.980667
2025年3月4週,250304,TSE Standard,個　人,9448954.0,9.448954
2025年3月4週,250304,TSE Standard,法　人,-1272400.0,-1.2724
2025年3月4週,250304,TSE Prime,自己計,1389466153.0,1389.466153
2025年4月1週,250401,TSE Growth,証券会社,-397646.0,-0.397646
2025年4月1週,250401,TSE Growth,海外投資家,-3117741.0,-3.117741
2025年4月1週,250401,TSE Growth,個　人,3023227.0,3.023227
2025年4月1週,250401,TSE Growth,法　人,4950020.0,4.95002
2025年4月1週,250401,TSE Growth,自己計,-6002649.0,-6.002649
2025年4月1週,250401,Tokyo & Nagoya,海外投資家,601126001.0,601.126001
2025年4月1週,250401,Tokyo & Nagoya,投資信託,249911690.0,249.91169
2025年4月1週,250401,Tokyo & Nagoya,証券会社,32104425.0,32.104425
2025年4月1週,250401,Tokyo & Nagoya,個　人,720930299.0,720.930299
2025年4月1週,250401,Tokyo & Nagoya,法　人,392687672.0,392.687672
2025年4月1週,250401,Tokyo & Nagoya,自己計,-1819269652.0,-1819.269652
2025年4月1週,250401,Tokyo & Nagoya,事業法人,310263482.0,310.263482
2025年4月1週,250401,TSE Growth,投資信託,1888880.0,1.88888
2025年4月1週,250401,TSE Standard,自己計,-4850488.0,-4.850488
2025年4月1週,250401,TSE Standard,法　人,6100825.0,6.100825
2025年4月1週,250401,TSE Prime,事業法人,302484648.0,302.484648
2025年4月1週,250401,TSE Prime,投資信託,247705776.0,247.705776
2025年4月1週,250401,TSE Prime,証券会社,31679830.0,31.67983
2025年4月1週,250401,TSE Prime,海外投資家,621750486.0,621.750486
2025年4月1週,250401,TSE Prime,個　人,703805463.0,703.805463
2025年4月1週,250401,TSE Prime,法　人,381597167.0,381.597167
2025年4月1週,250401,TSE Growth,事業法人,1652806.0,1.652806
2025年4月1週,250401,TSE Standard,事業法人,6083537.0,6.083537
2025年4月1週,250401,TSE Standard,投資信託,318870.0,0.31887
2025年4月1週,250401,TSE Standard,証券会社,812457.0,0.812457
2025年4月1週,250401,TSE Standard,海外投資家,-17557983.0,-17.557983
2025年4月1週,250401,TSE Standard,個　人,14259503.0,14.259503
2025年4月1週,250401,TSE Prime,自己計,-1808474287.0,-1808.474287
2025年4月2週,250402,TSE Growth,証券会社,346088.0,0.346088
2025年4月2週,250402,TSE Growth,海外投資家,12852246.0,12.852246
2025年4月2週,250402,TSE Growth,個　人,-14680609.0,-14.680609
2025年4月2週,250402,TSE Growth,法　人,3459776.0,3.459776
2025年4月2週,250402,TSE Growth,自己計,-1855615.0,-1.855615
2025年4月2週,250402,Tokyo & Nagoya,証券会社,21510098.0,21.510098
2025年4月2週,250402,Tokyo & Nagoya,投資信託,69121804.0,69.121804
2025年4月2週,250402,Tokyo & Nagoya,海外投資家,158228771.0,158.228771
2025年4月2週,250402,Tokyo & Nagoya,個　人,-117711658.0,-117.711658
2025年4月2週,250402,Tokyo & Nagoya,法　人,591879614.0,591.879614
2025年4月2週,250402,TSE Growth,投資信託,2107695.0,2.107695
2025年4月2週,250402,Tokyo & Nagoya,事業法人,365387225.0,365.387225
2025年4月2週,250402,Tokyo & Nagoya,自己計,-673666229.0,-673.666229
2025年4月2週,250402,TSE Standard,自己計,4311124.0,4.311124
2025年4月2週,250402,TSE Standard,法　人,5548608.0,5.548608
2025年4月2週,250402,TSE Growth,事業法人,718954.0,0.718954
2025年4月2週,250402,TSE Prime,投資信託,65707562.0,65.707562
2025年4月2週,250402,TSE Prime,証券会社,21222092.0,21.222092
2025年4月2週,250402,TSE Prime,海外投資家,132692788.0,132.692788
2025年4月2週,250402,TSE Prime,個　人,-82258481.0,-82.258481
